Time,PV_input_current(A),PV_input_voltage(V),Irradiance,PV_temp,PV_no.
2021-02-04 13:45:00,7.06,686.5,0,0,2
2021-02-04 14:00:00,6.9,683.8,0,0,2
2021-02-04 14:15:00,6.49,683.8,0,0,2
2021-02-04 14:30:00,6.12,694.1,0,0,2
2021-02-04 14:45:00,5.9,695.8,0,0,2
2021-02-04 15:00:00,5.88,689.6,0,0,2
2021-02-04 15:15:00,5.44,690.0,0,0,2
2021-02-04 15:30:00,5.0,695.9,0,0,2
2021-02-04 15:45:00,0.0,842.0,0,0,2
2021-02-04 16:00:00,0.0,834.0,0,0,2
2021-02-04 16:15:00,0.0,831.0,0,0,2
2021-02-04 16:30:00,0.0,827.0,0,0,2
2021-02-04 16:45:00,0.3,826.0,0,0,2
2021-02-04 17:00:00,0.3,822.0,0,0,2
2021-02-04 17:15:00,0.0,816.0,0,0,2
2021-02-04 17:30:00,0.0,808.0,0,0,2
2021-02-04 17:45:00,0.0,795.0,0,0,2
2021-02-04 18:00:00,0.0,761.7,0,0,2
2021-02-04 18:15:00,0.0,711.7,0,0,2
2021-02-04 18:30:00,0.0,431.5,0,0,2
2021-02-05 06:45:00,0.0,719.3,0,0,2
2021-02-05 07:00:00,0.0,795.9,0,0,2
2021-02-05 07:15:00,0.0,834.2,0,0,2
2021-02-05 07:30:00,-0.4,849.7,0,0,2
2021-02-05 07:45:00,-0.49,859.7,0,0,2
2021-02-05 08:00:00,-0.34,861.7,0,0,2
2021-02-05 08:15:00,0.0,858.1,0,0,2
2021-02-05 08:30:00,0.0,856.3,0,0,2
2021-02-05 08:45:00,0.0,854.0,0,0,2
2021-02-05 09:00:00,0.0,855.6,0,0,2
2021-02-05 09:15:00,0.0,851.2,0,0,2
2021-02-05 09:30:00,0.0,847.2,0,0,2
2021-02-05 09:45:00,0.0,844.7,0,0,2
2021-02-05 10:00:00,0.39,838.8,0,0,2
2021-02-05 10:15:00,0.44,837.4,0,0,2
2021-02-05 10:30:00,0.46,832.9,0,0,2
2021-02-05 10:45:00,0.4,832.7,0,0,2
2021-02-05 11:00:00,0.36,831.8,0,0,2
2021-02-05 11:15:00,0.0,833.8,0,0,2
2021-02-05 11:30:00,0.0,832.1,0,0,2
2021-02-05 11:45:00,0.0,831.3,0,0,2
2021-02-05 12:00:00,0.0,832.9,0,0,2
2021-02-05 12:15:00,0.0,836.7,0,0,2
2021-02-05 12:30:00,0.0,828.2,0,0,2
2021-02-05 12:45:00,0.0,826.8,0,0,2
2021-02-05 13:00:00,0.0,823.5,0,0,2
2021-02-05 13:15:00,1.69,799.1,0,0,2
2021-02-05 13:30:00,7.27,666.3,0,0,2
2021-02-05 13:45:00,7.26,672.2,0,0,2
2021-02-05 14:00:00,7.02,674.4,0,0,2
2021-02-05 14:15:00,7.0,671.9,0,0,2
2021-02-05 14:30:00,6.58,671.9,0,0,2
2021-02-05 14:45:00,6.37,683.7,0,0,2
2021-02-05 15:00:00,6.17,683.7,0,0,2
2021-02-05 15:15:00,5.8,695.3,0,0,2
2021-02-05 15:30:00,5.4,695.5,0,0,2
2021-02-05 15:45:00,5.12,688.6,0,0,2
2021-02-05 16:00:00,4.71,702.1,0,0,2
2021-02-05 16:15:00,4.1,700.6,0,0,2
2021-02-05 16:30:00,3.68,698.8,0,0,2
2021-02-05 16:45:00,3.05,702.2,0,0,2
2021-02-05 17:00:00,2.52,699.2,0,0,2
2021-02-05 17:15:00,1.92,705.1,0,0,2
2021-02-05 17:30:00,1.32,696.2,0,0,2
2021-02-05 17:45:00,0.92,687.2,0,0,2
2021-02-05 18:00:00,0.29,665.0,0,0,2
2021-02-05 18:15:00,0.29,570.2,0,0,2
2021-02-05 18:30:00,0.09,462.2,0,0,2
2021-02-05 18:45:00,0.0,0.0,0,0,2
2021-02-06 00:00:00,0.0,0.0,0,0,2
2021-02-06 06:45:00,0.07,513.7,0,0,2
2021-02-06 07:00:00,0.07,651.7,0,0,2
2021-02-06 07:15:00,0.07,721.9,0,0,2
2021-02-06 07:30:00,0.27,747.6,0,0,2
2021-02-06 07:45:00,0.47,737.4,0,0,2
2021-02-06 08:00:00,0.67,743.5,0,0,2
2021-02-06 08:15:00,0.87,735.6,0,0,2
2021-02-06 08:30:00,1.07,723.6,0,0,2
2021-02-06 08:45:00,1.47,717.6,0,0,2
2021-02-06 09:00:00,2.07,729.6,0,0,2
2021-02-06 09:15:00,2.47,717.6,0,0,2
2021-02-06 09:30:00,2.87,711.9,0,0,2
2021-02-06 09:45:00,3.47,699.5,0,0,2
2021-02-06 10:00:00,3.88,699.6,0,0,2
2021-02-06 10:15:00,4.49,694.4,0,0,2
2021-02-06 10:30:00,4.69,698.8,0,0,2
2021-02-06 10:45:00,5.29,693.6,0,0,2
2021-02-06 11:00:00,5.5,689.9,0,0,2
2021-02-06 11:15:00,5.9,683.8,0,0,2
2021-02-06 11:30:00,6.12,681.6,0,0,2
2021-02-06 11:45:00,6.32,689.9,0,0,2
2021-02-06 12:00:00,6.56,675.6,0,0,2
2021-02-06 12:15:00,6.8,681.6,0,0,2
2021-02-06 12:30:00,6.8,691.5,0,0,2
2021-02-06 12:45:00,7.04,675.6,0,0,2
