,Time,PV_input_current(A),PV_input_voltage(V),Ambient_temp,Irradiance,PV_temp,PV_no.
162,2024-11-01 10:00:00,7.65,658.6,34.6,395.9,43.9,3
163,2024-11-01 10:00:00,5.86,658.6,34.6,395.9,43.9,4
164,2024-11-01 10:00:00,7.76,653.4,34.6,395.9,43.9,5
165,2024-11-01 10:00:00,5.81,653.4,34.6,395.9,43.9,6
166,2024-11-01 10:00:00,7.73,659.2,34.6,395.9,43.9,7
167,2024-11-01 10:00:00,5.89,659.2,34.6,395.9,43.9,8
168,2024-11-01 10:00:00,7.74,652.9,34.6,395.9,43.9,9
169,2024-11-01 10:00:00,5.87,652.9,34.6,395.9,43.9,10
170,2024-11-01 10:15:00,8.03,658.5,34.0,406.2,45.2,1
171,2024-11-01 10:15:00,6.29,658.5,34.0,406.2,45.2,2
172,2024-11-01 10:15:00,7.82,659.4,34.0,406.2,45.2,3
173,2024-11-01 10:15:00,6.26,659.4,34.0,406.2,45.2,4
174,2024-11-01 10:15:00,7.98,650.5,34.0,406.2,45.2,5
175,2024-11-01 10:15:00,6.22,650.5,34.0,406.2,45.2,6
176,2024-11-01 10:15:00,7.9,656.0,34.0,406.2,45.2,7
177,2024-11-01 10:15:00,6.3,656.0,34.0,406.2,45.2,8
178,2024-11-01 10:15:00,8.03,655.6,34.0,406.2,45.2,9
179,2024-11-01 10:15:00,6.28,655.6,34.0,406.2,45.2,10
180,2024-11-01 10:30:00,7.8,652.4,34.9,378.8,46.4,1
181,2024-11-01 10:30:00,6.52,652.4,34.9,378.8,46.4,2
182,2024-11-01 10:30:00,7.02,651.6,34.9,378.8,46.4,3
183,2024-11-01 10:30:00,6.46,651.6,34.9,378.8,46.4,4
184,2024-11-01 10:30:00,7.96,644.5,34.9,378.8,46.4,5
185,2024-11-01 10:30:00,6.43,644.5,34.9,378.8,46.4,6
186,2024-11-01 10:30:00,7.71,656.2,34.9,378.8,46.4,7
187,2024-11-01 10:30:00,6.49,656.2,34.9,378.8,46.4,8
188,2024-11-01 10:30:00,7.82,655.6,34.9,378.8,46.4,9
189,2024-11-01 10:30:00,6.5,655.6,34.9,378.8,46.4,10
190,2024-11-01 10:45:00,8.46,643.7,35.5,428.3,46.4,1
191,2024-11-01 10:45:00,7.15,643.7,35.5,428.3,46.4,2
192,2024-11-01 10:45:00,8.48,646.6,35.5,428.3,46.4,3
193,2024-11-01 10:45:00,7.09,646.6,35.5,428.3,46.4,4
194,2024-11-01 10:45:00,8.56,641.4,35.5,428.3,46.4,5
195,2024-11-01 10:45:00,7.07,641.4,35.5,428.3,46.4,6
196,2024-11-01 10:45:00,8.55,647.0,35.5,428.3,46.4,7
197,2024-11-01 10:45:00,7.32,647.0,35.5,428.3,46.4,8
198,2024-11-01 10:45:00,8.45,646.9,35.5,428.3,46.4,9
199,2024-11-01 10:45:00,7.11,646.9,35.5,428.3,46.4,10
200,2024-11-01 11:00:00,8.19,646.5,35.6,433.8,47.2,1
201,2024-11-01 11:00:00,7.17,646.5,35.6,433.8,47.2,2
202,2024-11-01 11:00:00,8.22,647.5,35.6,433.8,47.2,3
203,2024-11-01 11:00:00,7.04,647.5,35.6,433.8,47.2,4
204,2024-11-01 11:00:00,8.1,647.4,35.6,433.8,47.2,5
205,2024-11-01 11:00:00,7.08,647.4,35.6,433.8,47.2,6
206,2024-11-01 11:00:00,8.07,653.1,35.6,433.8,47.2,7
207,2024-11-01 11:00:00,7.1,653.1,35.6,433.8,47.2,8
208,2024-11-01 11:00:00,7.87,646.9,35.6,433.8,47.2,9
209,2024-11-01 11:00:00,7.1,646.9,35.6,433.8,47.2,10
210,2024-11-01 11:15:00,8.9,643.6,35.4,450.9,47.9,1
211,2024-11-01 11:15:00,8.11,643.6,35.4,450.9,47.9,2
212,2024-11-01 11:15:00,8.87,641.5,35.4,450.9,47.9,3
213,2024-11-01 11:15:00,8.02,641.5,35.4,450.9,47.9,4
214,2024-11-01 11:15:00,8.97,641.4,35.4,450.9,47.9,5
215,2024-11-01 11:15:00,7.95,641.4,35.4,450.9,47.9,6
216,2024-11-01 11:15:00,9.04,641.1,35.4,450.9,47.9,7
217,2024-11-01 11:15:00,8.23,641.1,35.4,450.9,47.9,8
218,2024-11-01 11:15:00,8.79,646.9,35.4,450.9,47.9,9
219,2024-11-01 11:15:00,7.9,646.9,35.4,450.9,47.9,10
220,2024-11-01 11:30:00,8.89,637.6,35.3,454.5,48.4,1
221,2024-11-01 11:30:00,8.22,637.6,35.3,454.5,48.4,2
222,2024-11-01 11:30:00,8.79,652.5,35.3,454.5,48.4,3
223,2024-11-01 11:30:00,7.99,652.5,35.3,454.5,48.4,4
224,2024-11-01 11:30:00,8.95,638.2,35.3,454.5,48.4,5
225,2024-11-01 11:30:00,8.06,638.2,35.3,454.5,48.4,6
226,2024-11-01 11:30:00,8.82,650.1,35.3,454.5,48.4,7
227,2024-11-01 11:30:00,8.13,650.1,35.3,454.5,48.4,8
228,2024-11-01 11:30:00,8.9,640.8,35.3,454.5,48.4,9
229,2024-11-01 11:30:00,8.1,640.8,35.3,454.5,48.4,10
230,2024-11-01 11:45:00,2.69,664.6,36.5,144.3,46.3,1
231,2024-11-01 11:45:00,2.67,664.6,36.5,144.3,46.3,2
232,2024-11-01 11:45:00,2.74,665.9,36.5,144.3,46.3,3
233,2024-11-01 11:45:00,2.6,665.9,36.5,144.3,46.3,4
234,2024-11-01 11:45:00,2.84,653.2,36.5,144.3,46.3,5
235,2024-11-01 11:45:00,2.61,653.2,36.5,144.3,46.3,6
236,2024-11-01 11:45:00,2.9,670.9,36.5,144.3,46.3,7
237,2024-11-01 11:45:00,2.64,670.9,36.5,144.3,46.3,8
